pertubation,secondary_extinction
0.874172,0.982301
0.877483,0.955752
0.880795,0.955752
0.884106,0.955752
0.887417,0.955752
0.889073,0.973451
0.890728,0.955752
0.892384,0.955752
0.89404,0.982301
0.895695,0.99115
0.897351,0.955752
0.899007,0.955752
0.900662,0.955752
0.902318,0.938053
0.903974,0.955752
0.905629,0.955752
0.907285,0.973451
0.90894,0.955752
0.910596,0.955752
0.912252,0.955752
0.913907,0.955752
0.915563,0.955752
0.917219,0.955752
0.918874,0.973451
0.92053,0.982301
0.922185,0.955752
0.923841,0.946903
0.925497,0.955752
0.927152,0.955752
0.928808,0.973451
0.930464,0.946903
0.932119,0.955752
0.933775,0.955752
0.93543,0.955752
0.937086,0.955752
0.938742,0.982301
0.940397,0.964602
0.942053,0.982301
0.943709,0.955752
0.945364,1.0
0.94702,0.955752
0.948675,0.973451
0.950331,0.955752
0.951987,0.955752
0.953642,0.973451
0.955298,0.955752
0.956954,0.99115
0.958609,0.973451
0.960265,0.982301
0.961921,0.973451
0.963576,0.973451
0.965232,0.982301
0.966887,0.973451
0.968543,0.973451
0.970199,0.982301
0.971854,0.982301
0.97351,0.982301
0.975166,0.973451
0.976821,0.982301
0.978477,0.982301
0.980132,0.964602
0.981788,0.982301
0.983444,0.973451
0.985099,0.982301
0.986755,0.982301
0.988411,0.982301
0.990066,1.0
0.991722,0.973451
0.993377,0.982301
0.995033,0.982301
0.996689,1.0
0.998344,1.0
1.0,0.982301
0.00662252,0.0353982
0.013245,0.0353982
0.0198675,0.0353982
0.0264901,0.0353982
0.0331126,0.0442478
0.0397351,0.0353982
0.0463576,0.0353982
0.0529801,0.0353982
0.0596026,0.0353982
0.0662252,0.0353982
0.0728477,0.0353982
0.0794702,0.0442478
0.0860927,0.0353982
0.0927152,0.0442478
0.0993377,0.0353982
0.10596,0.0353982
0.112583,0.0353982
0.119205,0.0353982
0.125828,0.0353982
0.13245,0.0353982
0.139073,0.0353982
0.145695,0.0442478
0.152318,0.0442478
0.15894,0.0353982
0.165563,0.0442478
0.172185,0.0442478
0.177152,0.0530973
0.182119,0.0442478
0.187086,0.0265487
0.192053,0.0353982
0.19702,0.0442478
0.201987,0.0353982
0.206954,0.0442478
0.211921,0.0353982
0.216887,0.0353982
0.221854,0.0265487
0.226821,0.0442478
0.231788,0.0265487
0.236755,0.0353982
0.241722,0.0530973
0.246689,0.0353982
0.251656,0.0442478
0.256623,0.0353982
0.261589,0.0442478
0.266556,0.0353982
0.271523,0.0442478
0.27649,0.0619469
0.281457,0.0442478
0.286424,0.0353982
0.291391,0.0353982
0.296358,0.0442478
0.301325,0.0442478
0.306291,0.0353982
0.311258,0.0442478
0.316225,0.0353982
0.321192,0.0442478
0.326159,0.0442478
0.331126,0.0619469
0.336093,0.0353982
0.34106,0.0353982
0.346026,0.0530973
0.350993,0.0442478
0.35596,0.0530973
0.360927,0.0265487
0.365894,0.0442478
0.370861,0.0619469
0.375828,0.0442478
0.380795,0.0707965
0.385762,0.0353982
0.390728,0.0353982
0.395695,0.0353982
0.400662,0.0530973
0.405629,0.0619469
0.410596,0.0442478
0.415563,0.0530973
0.42053,0.0442478
0.425497,0.0530973
0.430464,0.0707965
0.43543,0.0707965
0.440397,0.079646
0.445364,0.0707965
0.450331,0.0707965
0.455298,0.0442478
0.460265,0.0442478
0.465232,0.0442478
0.470199,0.0884956
0.475166,0.0973451
0.480132,0.0530973
0.485099,0.0707965
0.490066,0.0884956
0.495033,0.0619469
0.5,0.0353982
0.504967,0.079646
0.509934,0.929204
0.514901,0.132743
0.519868,0.079646
0.524834,0.0707965
0.529801,0.0973451
0.534768,0.123894
0.539735,0.938053
0.544702,0.929204
0.549669,0.884956
0.554636,0.955752
0.559603,0.911504
0.56457,0.946903
0.569536,0.955752
0.574503,0.929204
0.57947,0.938053
0.584437,0.920354
0.589404,0.946903
0.594371,0.938053
0.599338,0.955752
0.604305,0.946903
0.609272,0.893805
0.614238,0.955752
0.619205,0.929204
0.624172,0.946903
0.629139,0.946903
0.634106,0.876106
0.639073,0.946903
0.64404,0.0530973
0.649007,0.946903
0.653974,0.964602
0.65894,0.0442478
0.663907,0.955752
0.668874,0.964602
0.673841,0.938053
0.678808,0.938053
0.683775,0.964602
0.688742,0.946903
0.693709,0.955752
0.698675,0.946903
0.703642,0.946903
0.708609,0.964602
0.713576,0.955752
0.718543,0.946903
0.72351,0.964602
0.728477,0.955752
0.733444,0.964602
0.738411,0.964602
0.743377,0.964602
0.748344,0.946903
0.753311,0.955752
0.758278,0.964602
0.761589,0.929204
0.764901,0.964602
0.768212,0.964602
0.771523,0.946903
0.774834,0.964602
0.778146,0.964602
0.781457,0.964602
0.784768,0.946903
0.788079,0.955752
0.791391,0.964602
0.794702,0.964602
0.798013,0.964602
0.801325,0.964602
0.804636,0.964602
0.807947,0.964602
0.811258,0.964602
0.81457,0.964602
0.817881,0.964602
0.821192,0.955752
0.824503,0.964602
0.827815,0.964602
0.831126,0.964602
0.834437,0.964602
0.837748,0.964602
0.84106,0.955752
0.844371,0.964602
0.847682,0.955752
0.850993,0.964602
0.854305,0.964602
0.857616,0.964602
0.860927,0.946903
0.864238,0.955752
0.86755,0.964602
0.870861,0.964602
0.874172,0.964602
0.877483,0.964602
0.880795,0.964602
0.884106,0.964602
0.887417,0.964602
0.889073,0.964602
0.890728,0.964602
0.892384,0.964602
0.89404,0.955752
0.895695,0.955752
0.897351,0.964602
0.899007,0.964602
0.900662,0.964602
0.902318,0.964602
0.903974,0.946903
0.905629,0.964602
0.907285,0.964602
0.90894,0.964602
0.910596,0.964602
0.912252,0.964602
0.913907,0.964602
0.915563,0.964602
0.917219,0.964602
0.918874,0.964602
0.92053,0.964602
0.922185,0.964602
0.923841,0.946903
0.925497,0.964602
0.927152,0.955752
0.928808,0.964602
0.930464,0.946903
0.932119,0.964602
0.933775,0.964602
0.93543,0.964602
0.937086,0.964602
0.938742,0.964602
0.940397,0.946903
0.942053,0.964602
0.943709,0.964602
0.945364,0.964602
0.94702,0.964602
0.948675,0.964602
0.950331,0.964602
0.951987,0.946903
0.953642,0.955752
0.955298,0.964602
0.956954,0.964602
0.958609,0.964602
0.960265,0.964602
0.961921,0.964602
0.963576,0.964602
0.965232,0.964602
0.966887,0.964602
0.968543,0.964602
0.970199,0.964602
0.971854,0.964602
0.97351,0.964602
0.975166,0.964602
0.976821,0.964602
0.978477,0.964602
0.980132,0.964602
0.981788,0.964602
0.983444,0.964602
0.985099,0.964602
0.986755,0.964602
0.988411,0.964602
0.990066,0.964602
0.991722,0.964602
0.993377,0.964602
0.995033,0.964602
0.996689,0.964602
0.998344,0.964602
1.0,0.964602
0.00662252,0.0442478
0.013245,0.0442478
0.0198675,0.0442478
0.0264901,0.0442478
0.0331126,0.0442478
0.0397351,0.0442478
0.0463576,0.0442478
0.0529801,0.079646
0.0596026,0.0442478
0.0662252,0.0442478
0.0728477,0.079646
0.0794702,0.0442478
0.0860927,0.0442478
0.0927152,0.079646
0.0993377,0.0442478
0.10596,0.0442478
0.112583,0.0442478
0.119205,0.0442478
0.125828,0.0442478
0.13245,0.0442478
0.139073,0.0442478
0.145695,0.0442478
0.152318,0.0442478
0.15894,0.0442478
0.165563,0.0442478
0.172185,0.0442478
0.177152,0.0442478
0.182119,0.0442478
0.187086,0.0442478
0.192053,0.0442478
0.19702,0.0442478
0.201987,0.0442478
0.206954,0.0442478
0.211921,0.0442478
0.216887,0.0442478
0.221854,0.079646
0.226821,0.0442478
0.231788,0.0442478
0.236755,0.079646
0.241722,0.0442478
0.246689,0.0442478
0.251656,0.0442478
0.256623,0.0442478
0.261589,0.0442478
0.266556,0.0442478
0.271523,0.0442478
0.27649,0.0707965
0.281457,0.0442478
0.286424,0.0442478
0.291391,0.0442478
0.296358,0.0442478
0.301325,0.079646
0.306291,0.079646
0.311258,0.079646
0.316225,0.0442478
0.321192,0.0442478
0.326159,0.0442478
0.331126,0.0442478
0.336093,0.0530973
0.34106,0.0442478
0.346026,0.0707965
0.350993,0.0530973
0.35596,0.106195
0.360927,0.0442478
0.365894,0.0973451
0.370861,0.0884956
0.375828,0.079646
0.380795,0.0884956
0.385762,0.0442478
0.390728,0.0884956
0.395695,0.0442478
0.400662,0.0442478
0.405629,0.0442478
0.410596,0.079646
0.415563,0.0530973
0.42053,0.0442478
0.425497,0.0973451
0.430464,0.115044
0.43543,0.0442478
0.440397,0.0442478
0.445364,0.0442478
0.450331,0.0442478
0.455298,0.079646
0.460265,0.0973451
0.465232,0.0442478
0.470199,0.0884956
0.475166,0.123894
0.480132,0.106195
0.485099,0.0884956
0.490066,0.106195
0.495033,0.0884956
0.5,0.150442
0.504967,0.0442478
0.509934,0.115044
0.514901,0.0884956
0.519868,0.982301
0.524834,0.123894
0.529801,0.0442478
0.534768,0.0530973
0.539735,0.0442478
0.544702,1.0
0.549669,0.0442478
0.554636,0.99115
0.559603,0.99115
0.56457,0.99115
0.569536,0.99115
0.574503,0.0442478
0.57947,0.973451
0.584437,0.982301
0.589404,0.929204
0.594371,1.0
0.599338,0.0442478
0.604305,1.0
0.609272,0.99115
0.614238,0.99115
0.619205,0.964602
0.624172,0.99115
0.629139,0.0530973
0.634106,1.0
0.639073,0.884956
0.64404,0.99115
0.649007,0.964602
0.653974,0.99115
0.65894,1.0
0.663907,0.99115
0.668874,1.0
0.673841,0.99115
0.678808,0.99115
0.683775,0.973451
0.688742,1.0
0.693709,1.0
0.698675,1.0
0.703642,1.0
0.708609,1.0
0.713576,1.0
0.718543,0.99115
0.72351,0.973451
0.728477,1.0
0.733444,0.982301
0.738411,0.99115
0.743377,1.0
0.748344,1.0
0.753311,1.0
0.758278,1.0
0.761589,1.0
0.764901,0.99115
0.768212,1.0
0.771523,1.0
0.774834,1.0
0.778146,1.0
0.781457,1.0
0.784768,1.0
0.788079,1.0
0.791391,1.0
0.794702,1.0
0.798013,1.0
0.801325,0.99115
0.804636,1.0
0.807947,1.0
0.811258,1.0
0.81457,1.0
0.817881,1.0
0.821192,1.0
0.824503,0.973451
0.827815,0.99115
0.831126,1.0
0.834437,1.0
0.837748,1.0
0.84106,1.0
0.844371,1.0
0.847682,1.0
0.850993,1.0
0.854305,1.0
0.857616,1.0
0.860927,0.973451
0.864238,1.0
0.86755,1.0
0.870861,1.0
0.874172,1.0
0.877483,1.0
0.880795,1.0
0.884106,1.0
0.887417,1.0
0.889073,1.0
0.890728,1.0
0.892384,1.0
0.89404,1.0
0.895695,1.0
0.897351,1.0
0.899007,0.973451
0.900662,1.0
0.902318,0.982301
0.903974,1.0
0.905629,1.0
0.907285,1.0
0.90894,0.99115
0.910596,1.0
0.912252,1.0
0.913907,0.982301
0.915563,1.0
0.917219,1.0
0.918874,0.973451
0.92053,0.973451
0.922185,1.0
0.923841,1.0
0.925497,0.99115
0.927152,1.0
0.928808,1.0
0.930464,1.0
0.932119,1.0
0.933775,1.0
0.93543,1.0
0.937086,1.0
0.938742,1.0
0.940397,1.0
0.942053,1.0
0.943709,1.0
0.945364,1.0
0.94702,1.0
0.948675,1.0
0.950331,0.973451
0.951987,1.0
0.953642,1.0
0.955298,0.973451
0.956954,1.0
0.958609,1.0
0.960265,1.0
0.961921,1.0
0.963576,1.0
0.965232,1.0
0.966887,1.0
0.968543,1.0
0.970199,1.0
0.971854,1.0
0.97351,1.0
0.975166,1.0
0.976821,1.0
0.978477,1.0
0.980132,1.0
0.981788,1.0
0.983444,1.0
0.985099,1.0
0.986755,1.0
0.988411,1.0
0.990066,1.0
0.991722,1.0
0.993377,1.0
0.995033,1.0
0.996689,1.0
0.998344,0.973451
1.0,0.973451
0.00662252,0.079646
0.013245,0.079646
0.0198675,0.079646
0.0264901,0.079646
0.0331126,0.079646
0.0397351,0.079646
0.0463576,0.0707965
0.0529801,0.079646
0.0596026,0.079646
0.0662252,0.079646
0.0728477,0.079646
0.0794702,0.079646
0.0860927,0.079646
0.0927152,0.079646
0.0993377,0.079646
0.10596,0.079646
0.112583,0.079646
0.119205,0.079646
0.125828,0.079646
0.13245,0.079646
0.139073,0.079646
0.145695,0.079646
0.152318,0.079646
0.15894,0.079646
0.165563,0.079646
0.172185,0.079646
0.177152,0.079646
0.182119,0.079646
0.187086,0.079646
0.192053,0.079646
0.19702,0.079646
0.201987,0.079646
0.206954,0.079646
0.211921,0.079646
0.216887,0.079646
0.221854,0.079646
0.226821,0.0707965
0.231788,0.079646
0.236755,0.079646
0.241722,0.079646
0.246689,0.0707965
0.251656,0.079646
0.256623,0.0707965
0.261589,0.079646
0.266556,0.079646
0.271523,0.079646
0.27649,0.0707965
0.281457,0.079646
0.286424,0.079646
0.291391,0.079646
0.296358,0.079646
0.301325,0.0707965
0.306291,0.079646
0.311258,0.079646
0.316225,0.079646
0.321192,0.079646
0.326159,0.079646
0.331126,0.079646
0.336093,0.079646
0.34106,0.079646
0.346026,0.079646
0.350993,0.079646
0.35596,0.079646
0.360927,0.0707965
0.365894,0.0884956
0.370861,0.079646
0.375828,0.079646
0.380795,0.079646
0.385762,0.079646
0.390728,0.079646
0.395695,0.0707965
0.400662,0.079646
0.405629,0.079646
0.410596,0.0707965
0.415563,0.0707965
0.42053,0.0884956
0.425497,0.0884956
0.430464,0.079646
0.43543,0.079646
0.440397,0.079646
0.445364,0.0884956
0.450331,0.079646
0.455298,0.079646
0.460265,0.0884956
0.465232,0.0973451
0.470199,0.079646
0.475166,0.079646
0.480132,0.079646
0.485099,0.079646
0.490066,0.115044
0.495033,0.0973451
0.5,0.123894
0.504967,0.079646
0.509934,0.0884956
0.514901,0.964602
0.519868,0.929204
0.524834,0.0884956
0.529801,0.893805
0.534768,0.132743
0.539735,0.955752
0.544702,0.938053
0.549669,0.955752
0.554636,0.920354
0.559603,0.946903
0.56457,0.946903
0.569536,0.938053
0.574503,0.955752
0.57947,0.911504
0.584437,0.929204
0.589404,0.938053
0.594371,0.955752
0.599338,0.955752
0.604305,0.955752
0.609272,0.929204
0.614238,0.911504
0.619205,0.938053
0.624172,0.902655
0.629139,0.938053
0.634106,0.938053
0.639073,0.964602
0.64404,0.955752
0.649007,0.946903
0.653974,0.920354
0.65894,0.973451
0.663907,0.955752
0.668874,0.964602
0.673841,0.902655
0.678808,0.946903
0.683775,0.946903
0.688742,0.973451
0.693709,0.955752
0.698675,0.946903
0.703642,0.973451
0.708609,0.973451
0.713576,0.955752
0.718543,0.973451
0.72351,0.973451
0.728477,0.973451
0.733444,0.973451
0.738411,0.929204
0.743377,0.973451
0.748344,0.973451
0.753311,0.946903
0.758278,0.973451
0.761589,0.946903
0.764901,0.973451
0.768212,0.973451
0.771523,0.973451
0.774834,0.973451
0.778146,0.946903
0.781457,0.973451
0.784768,0.973451
0.788079,0.973451
0.791391,0.973451
0.794702,0.973451
0.798013,0.973451
0.801325,0.973451
0.804636,0.929204
0.807947,0.964602
0.811258,0.973451
0.81457,0.973451
0.817881,0.955752
0.821192,0.973451
0.824503,0.973451
0.827815,0.973451
0.831126,0.973451
0.834437,0.973451
0.837748,0.973451
0.84106,0.973451
0.844371,0.973451
0.847682,0.946903
0.850993,0.964602
0.854305,0.973451
0.857616,0.973451
0.860927,0.973451
0.864238,0.973451
0.86755,0.920354
0.870861,0.973451
0.874172,0.973451
0.877483,0.973451
0.880795,0.973451
0.884106,0.955752
0.887417,0.973451
0.889073,0.973451
0.890728,0.973451
0.892384,0.973451
0.89404,0.973451
0.895695,0.973451
0.897351,0.973451
0.899007,0.973451
0.900662,0.973451
0.902318,0.973451
0.903974,0.973451
0.905629,0.973451
0.907285,0.973451
0.90894,0.973451
0.910596,0.946903
0.912252,0.973451
0.913907,0.973451
0.915563,0.964602
0.917219,0.973451
0.918874,0.929204
0.92053,0.973451
0.922185,0.973451
0.923841,0.955752
0.925497,0.973451
0.927152,0.973451
0.928808,0.973451
0.930464,0.973451
0.932119,0.946903
0.933775,0.973451
0.93543,0.973451
0.937086,0.973451
0.938742,0.973451
0.940397,0.973451
0.942053,0.973451
0.943709,0.973451
0.945364,0.973451
0.94702,0.973451
0.948675,0.973451
0.950331,0.973451
0.951987,0.973451
0.953642,0.973451
0.955298,0.973451
0.956954,0.973451
0.958609,0.973451
0.960265,0.973451
0.961921,0.973451
0.963576,0.973451
0.965232,0.973451
0.966887,0.973451
0.968543,0.946903
0.970199,0.973451
0.971854,0.973451
0.97351,0.973451
0.975166,0.973451
0.976821,0.973451
0.978477,0.973451
0.980132,0.973451
0.981788,0.973451
0.983444,0.973451
0.985099,0.973451
0.986755,0.973451
0.988411,0.973451
0.990066,0.911504
0.991722,0.973451
0.993377,0.946903
0.995033,0.946903
0.996689,0.973451
0.998344,0.973451
1.0,0.973451
0.00662252,0.0707965
0.013245,0.0707965
0.0198675,0.0707965
0.0264901,0.0707965
0.0331126,0.0707965
0.0397351,0.0707965
0.0463576,0.0707965
0.0529801,0.0707965
0.0596026,0.0707965
0.0662252,0.0707965
0.0728477,0.0707965
0.0794702,0.0707965
0.0860927,0.0707965
0.0927152,0.0707965
0.0993377,0.079646
0.10596,0.0707965
0.112583,0.079646
0.119205,0.0707965
0.125828,0.0707965
0.13245,0.0707965
0.139073,0.0707965
0.145695,0.0707965
0.152318,0.0707965
0.15894,0.0707965
0.165563,0.0707965
0.172185,0.0707965
0.177152,0.079646
0.182119,0.0707965
0.187086,0.0707965
0.192053,0.0707965
0.19702,0.0707965
0.201987,0.0707965
0.206954,0.0973451
0.211921,0.106195
0.216887,0.0707965
0.221854,0.0707965
0.226821,0.079646
0.231788,0.079646
0.236755,0.0707965
0.241722,0.0707965
0.246689,0.0884956
0.251656,0.079646
0.256623,0.0973451
0.261589,0.0973451
0.266556,0.0973451
0.271523,0.079646
0.27649,0.106195
0.281457,0.079646
0.286424,0.079646
0.291391,0.0884956
0.296358,0.0707965
0.301325,0.0707965
0.306291,0.0884956
0.311258,0.106195
0.316225,0.0973451
0.321192,0.0884956
0.326159,0.079646
0.331126,0.0973451
0.336093,0.0707965
0.34106,0.115044
0.346026,0.106195
0.350993,0.0707965
0.35596,0.079646
0.360927,0.0707965
0.365894,0.0884956
0.370861,0.079646
0.375828,0.0973451
0.380795,0.132743
0.385762,0.079646
0.390728,0.079646
0.395695,0.106195
0.400662,0.106195
0.405629,0.106195
0.410596,0.0973451
0.415563,0.0973451
0.42053,0.0973451
0.425497,0.0973451
0.430464,0.079646
0.43543,0.115044
0.440397,0.123894
0.445364,0.106195
0.450331,0.0884956
0.455298,0.106195
0.460265,0.106195
0.465232,0.0884956
0.470199,0.0973451
0.475166,0.0884956
0.480132,0.106195
0.485099,0.0884956
0.490066,0.123894
0.495033,0.106195
0.5,0.141593
0.504967,0.0973451
0.509934,0.150442
0.514901,0.141593
0.519868,0.106195
0.524834,0.946903
0.529801,0.849558
0.534768,0.946903
0.539735,0.893805
0.544702,0.946903
0.549669,0.884956
0.554636,0.893805
0.559603,0.123894
0.56457,0.929204
0.569536,0.955752
0.574503,0.929204
0.57947,0.920354
0.584437,0.920354
0.589404,0.973451
0.594371,0.929204
0.599338,0.920354
0.604305,0.946903
0.609272,0.884956
0.614238,0.929204
0.619205,0.902655
0.624172,0.946903
0.629139,0.973451
0.634106,0.946903
0.639073,0.946903
0.64404,0.920354
0.649007,0.946903
0.653974,0.973451
0.65894,0.964602
0.663907,0.982301
0.668874,0.938053
0.673841,0.946903
0.678808,0.938053
0.683775,0.946903
0.688742,1.0
0.693709,0.973451
0.698675,0.955752
0.703642,0.964602
0.708609,0.938053
0.713576,0.955752
0.718543,0.929204
0.72351,0.982301
0.728477,0.964602
0.733444,0.982301
0.738411,0.973451
0.743377,0.946903
0.748344,1.0
0.753311,0.982301
0.758278,1.0
0.761589,1.0
0.764901,0.973451
0.768212,1.0
0.771523,0.982301
0.774834,0.982301
0.778146,0.938053
0.781457,0.982301
0.784768,0.973451
0.788079,0.982301
0.791391,0.929204
0.794702,0.964602
0.798013,0.973451
0.801325,0.973451
0.804636,0.982301
0.807947,0.982301
0.811258,0.982301
0.81457,0.982301
0.817881,1.0
0.821192,1.0
0.824503,0.982301
0.827815,0.982301
0.831126,0.982301
0.834437,0.982301
0.837748,0.973451
0.84106,0.973451
0.844371,0.982301
0.847682,0.982301
0.850993,0.973451
0.854305,0.973451
0.857616,0.982301
0.860927,0.973451
0.864238,0.964602
0.86755,0.929204
0.870861,0.973451
0.874172,1.0
0.877483,0.982301
0.880795,0.982301
0.884106,0.982301
0.887417,0.973451
0.889073,0.982301
0.890728,0.982301
0.892384,0.982301
0.89404,0.982301
0.895695,0.982301
0.897351,1.0
0.899007,0.982301
0.900662,0.973451
0.902318,0.973451
0.903974,0.964602
0.905629,0.982301
0.907285,0.982301
0.90894,0.982301
0.910596,0.982301
0.912252,0.982301
0.913907,0.964602
0.915563,0.982301
0.917219,0.982301
0.918874,0.982301
0.92053,0.973451
0.922185,0.982301
0.923841,0.982301
0.925497,0.982301
0.927152,0.982301
0.928808,0.982301
0.930464,0.982301
0.932119,0.982301
0.933775,0.982301
0.93543,0.964602
0.937086,0.982301
0.938742,0.982301
0.940397,0.982301
0.942053,0.982301
0.943709,0.964602
0.945364,0.982301
0.94702,0.982301
0.948675,0.973451
0.950331,1.0
0.951987,0.982301
0.953642,0.982301
0.955298,1.0
0.956954,0.982301
0.958609,0.982301
0.960265,0.973451
0.961921,0.982301
0.963576,0.982301
0.965232,0.982301
0.966887,0.982301
0.968543,0.982301
0.970199,0.982301
0.971854,0.982301
0.97351,0.982301
0.975166,0.982301
0.976821,0.982301
0.978477,0.982301
0.980132,0.982301
0.981788,0.982301
0.983444,0.982301
0.985099,0.982301
0.986755,0.982301
0.988411,0.982301
0.990066,0.982301
0.991722,0.982301
0.993377,0.982301
0.995033,0.982301
0.996689,0.982301
0.998344,0.982301
1.0,0.982301
0.00662252,0.0884956
0.013245,0.0884956
0.0198675,0.0884956
0.0264901,0.0884956
0.0331126,0.0884956
0.0397351,0.0884956
0.0463576,0.0884956
0.0529801,0.0884956
0.0596026,0.0884956
0.0662252,0.0884956
0.0728477,0.0884956
0.0794702,0.0884956
0.0860927,0.0884956
0.0927152,0.0884956
0.0993377,0.0884956
0.10596,0.0884956
0.112583,0.0884956
0.119205,0.0884956
0.125828,0.0884956
0.13245,0.0884956
0.139073,0.0884956
0.145695,0.0884956
0.152318,0.0884956
0.15894,0.0884956
0.165563,0.0884956
0.172185,0.0884956
0.177152,0.0884956
0.182119,0.0884956
0.187086,0.0884956
0.192053,0.0884956
0.19702,0.0884956
0.201987,0.0973451
0.206954,0.0884956
0.211921,0.0884956
0.216887,0.0884956
0.221854,0.0884956
0.226821,0.0884956
0.231788,0.0973451
0.236755,0.0884956
0.241722,0.0884956
0.246689,0.0884956
0.251656,0.0884956
0.256623,0.0884956
0.261589,0.0884956
0.266556,0.0884956
0.271523,0.0884956
0.27649,0.0884956
0.281457,0.0973451
0.286424,0.115044
0.291391,0.0884956
0.296358,0.0973451
0.301325,0.0884956
0.306291,0.0884956
0.311258,0.0884956
0.316225,0.0973451
0.321192,0.0973451
0.326159,0.0884956
0.331126,0.115044
0.336093,0.0884956
0.34106,0.0884956
0.346026,0.0884956
0.350993,0.0973451
0.35596,0.106195
0.360927,0.106195
0.365894,0.106195
0.370861,0.0973451
0.375828,0.0884956
0.380795,0.0884956
0.385762,0.0973451
0.390728,0.106195
0.395695,0.0884956
0.400662,0.0973451
0.405629,0.0973451
0.410596,0.0884956
0.415563,0.106195
0.42053,0.132743
0.425497,0.0884956
0.430464,0.106195
0.43543,0.168142
0.440397,0.0884956
0.445364,0.115044
0.450331,0.123894
0.455298,0.150442
0.460265,0.0884956
0.465232,0.106195
0.470199,0.132743
0.475166,0.132743
0.480132,0.132743
0.485099,0.150442
0.490066,0.168142
0.495033,0.123894
0.5,0.141593
0.504967,0.0973451
0.509934,0.159292
0.514901,0.982301
0.519868,0.955752
0.524834,0.176991
0.529801,0.982301
0.534768,0.964602
0.539735,0.132743
0.544702,0.955752
0.549669,0.964602
0.554636,0.123894
0.559603,0.99115
0.56457,0.973451
0.569536,0.973451
0.574503,1.0
0.57947,1.0
0.584437,0.99115
0.589404,0.955752
0.594371,0.982301
0.599338,0.973451
0.604305,0.973451
0.609272,0.955752
0.614238,0.982301
